JobID,Order - Number,Order - Channel,BoxContent,MFPN,Item - SKU,FulfillableQty,Carrier - Service Requested,Fulfillment SKU,Warehouse Location,UPC,Item Name,Product ID,tagId,orderId,orderItemId
XTREME_CABINET_20260128_2317,468803106,,CMV-30-GREY,KM16,CMV-30-GREY,2,UPS Ground,KM16,KM16,863497000041,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 28 x 19, Grey",5367591,56239,914882983,1723059438
XTREME_CABINET_20260128_2317,400045028,3890849,CLUB-DS-BEIGE,GCM40,CLUB-DS-BEIGE,1,UPS Ground,GCM40,GCM40,850009715876,Club Car DS - 1st row BEIGE Trim,41121702,56239,914865167,1723023418
XTREME_CABINET_20260128_2317,111-8255038-4231436,amazon,CLUB-ONWARD-26-BLUE,GCM168,CLUB-ONWARD-26-BLUE,1,UPS Ground,GCM168,GCM168,810104283335,"Xtreme Golf Cart Mats, Diamond Rubber Floor Mat Liner for 2026 Club Car Tempo & Onward Models (Blue Trim)",61895194,56239,914891548,1723075432
XTREME_CABINET_20260128_2317,111-8255038-4231436,amazon,MAX56-BLUE,RFM16,MAX56-BLUE,1,UPS Ground,RFM16,RFM16,810104281010,DoubleTake Max5 & Max6 - BLUE Trim,38990040,56239,914891548,1723075433
XTREME_CABINET_20260128_2317,111-8255038-4231436,amazon,RFM-PINS-BUNDLE,RFMPB,RFM-PINS-BUNDLE,1,UPS Ground,RFM-PINS-BUNDLE,RFMPB,810104281669,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),44464313,56239,914891548,1723075434
XTREME_CABINET_20260128_2317,113-5017600-3908223,amazon,BW-STAR-SIR-BLK,BW45,BW-STAR-SIR-BLK,1,FEDEX Fedex Home Delivery,BW45,BW45,810104282857,Star EV - Bag Well Mat -  Fits Star Sirius Models - All Black,59775053,56239,914891550,1723075435
XTREME_CABINET_20260128_2317,112-2758827-9629824,amazon,EZGO-RXV-BLUE,GCM20,EZGO-RXV-BLUE,1,UPS Ground,GCM20,GCM20,850009715302,EZGO RXV - 1st row BLUE Trim,32160327,56239,914891544,1723075423
XTREME_CABINET_20260128_2317,112-2758827-9629824,amazon,BW-EZGO-RXV-BLUE,BW20,BW-EZGO-RXV-BLUE,1,UPS Ground,BW20,BW20,810104280150,Bag Well Mat for EZGO RXV BLUE Trim,40986472,56239,914891544,1723075424
XTREME_CABINET_20260128_2317,400045029,web,CMV-27-BEIGE,KM12,CMV-27-BEIGE,1,UPS Ground,KM12,KM12,869597000264,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 25 x 19, Beige",5367592,56239,914891635,1723075692
XTREME_CABINET_20260128_2317,400045029,web,CMV-42-BEIGE,KM30,CMV-42-BEIGE,1,UPS Ground,KM30,KM30,810104281423,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 40 x 19, Beige",43047330,56239,914891635,1723075693
XTREME_CABINET_20260128_2317,400045030,web,CM-33-GREY,KM18,CM-33-GREY,1,UPS Ground,KM18,KM18,869597000202,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 31 x 22, Grey",5367583,56239,914891633,1723075687
XTREME_CABINET_20260128_2317,400045030,web,CMV-24-GREY,KM17,CMV-24-GREY,2,UPS Ground,KM17,KM17,863497000096,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 22 x 19, Grey",5367595,56239,914891633,1723075688
XTREME_CABINET_20260128_2317,400045030,web,CMV-21-GREY,KM33,CMV-21-GREY,1,UPS Ground,KM33,KM33,810104281454,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 19 x 19, Grey",43306003,56239,914891633,1723075689
XTREME_CABINET_20260128_2317,400045030,web,,,,1,UPS Ground,,,,SALUTE10,,56239,914891633,1723075690
XTREME_CABINET_20260128_2317,400045031,web,CM-36-GREY,KM15,CM-36-GREY,1,UPS Ground,KM15,KM15,863497000034,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Grey",5367581,56239,914925401,1723144324
XTREME_CABINET_20260128_2317,200014220260686,walmart,CM-36-GREY,KM15,CM-36-GREY,3,UPS Ground,KM15,KM15,863497000034,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Grey",5367581,56239,914925337,1723144216
XTREME_CABINET_20260128_2317,400044927A,Edit Order,CM-33-BEIGE,KM08,CM-33-BEIGE,1,UPS Ground,KM08,KM08,869597000288,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 31 x 22, Beige",5367582,56239,914929625,1723153133
XTREME_CABINET_20260128_2317,400045034,web,CM-42-GREY,KM31,CM-42-GREY,1,UPS Ground,KM31,KM31,810104281447,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 40 x 22, Grey",42680135,56239,914946016,1723185313
XTREME_CABINET_20260128_2317,112-8795285-2730627,amazon,BW-CLUB-PRESON-RED,BW01,BW-CLUB-PRESON-RED,1,UPS Ground,BW01,BW01,850009715968,Bag Well Mat for Club Car Precedent/Onward RED Trim,44838972,56239,914945811,1723184787
