Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,1/31/2026 6:17:32 PM,,400045120,DM-EZGO-RXV-BEIGE,DM37,1,Dash Mats for EZGO RXV BEIGE Trim,web,Xtreme Mats,24.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:35:51 PM,,400045119,EZGO-RXV-GREY,GCM04,1,EZGO RXV - 1st row GREY Trim,web,Xtreme Mats,128.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:35:51 PM,,400045119,,,1,WELCOME5,web,Xtreme Mats,128.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:27:10 PM,2/2/2026 8:59:59 PM,27-14152-70876,BW-CLUB-PRESON-BLK,BW09,1,Bag Well Mat for Club Car Precedent/Onward BLACK Trim,ebay_v2,Xtreme Mats eBay 2.0,48.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:08:40 PM,,400045117,BW-CLUB-PRESON-BLK,BW09,1,Bag Well Mat for Club Car Precedent/Onward BLACK Trim,web,Xtreme Mats,209.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:08:40 PM,,400045117,DM-CLUB-PRESON-BLK,DM09,1,Dash Mats for Club Car Precedent/Onward BLACK Trim,web,Xtreme Mats,209.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 5:08:40 PM,,400045117,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,web,Xtreme Mats,209.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 2:42:09 PM,,400045115,velcro,velcro,1,Velcro,web,Xtreme Mats,114.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 2:42:09 PM,,400045115,EVOL-D5-B-BLK,GCM81B,1,Evolution D5 2nd Row Black,web,Xtreme Mats,114.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 2:42:09 PM,,400045115,,,1,XTREME10,web,Xtreme Mats,114.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 2:39:41 PM,,400045114,EZGO-RXV24-GREY,GCM105,1,EZGO RXV 2024 Front Row Grey,web,Xtreme Mats,176.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 2:39:41 PM,,400045114,BW-EZGO-RXV-BLK,BW10,1,Bag Well Mat for EZGO RXV BLACK Trim,web,Xtreme Mats,176.0,Package
